,method,comp,suff
172,ablation,0.8242320865392685,0.9903875216841698
173,ablation,0.990003869868815,0.03242313861846924
174,ablation,2.1457672119140625e-05,0.0006903409957885742
175,ablation,0.00023674964904785156,0.10636162757873535
176,ablation,0.908765397965908,4.786252975463867e-05
177,ablation,0.006541907787322998,0.1153186559677124
178,ablation,0.0007128715515136719,0.0024753808975219727
179,ablation,0.9896079865284264,-0.0031431913375854492
180,ablation,0.006522417068481445,0.011193454265594482
181,ablation,0.4474213123321533,-0.00011986494064331055
182,ablation,0.8733242973685265,-0.10150110721588135
183,ablation,0.8570006489753723,-1.4126300811767578e-05
184,ablation,0.974862951785326,-4.011392593383789e-05
185,ablation,0.027490079402923584,-0.00022393465042114258
186,ablation,0.908998653292656,0.6116512715816498
187,ablation,0.016200363636016846,0.0016474127769470215
188,ablation,0.9844699669629335,-0.0039634108543396
189,ablation,0.5649669170379639,0.0596657395362854
190,ablation,0.0003133416175842285,0.40035462379455566
191,ablation,0.07942867279052734,-0.00010198354721069336
192,ablation,0.2566072940826416,0.0030811429023742676
193,ablation,0.013808488845825195,0.0003432631492614746
194,ablation,0.4752936363220215,-0.00027048587799072266
195,ablation,0.00040417909622192383,2.205371856689453e-05
196,ablation,0.07380646467208862,-0.0003078579902648926
197,ablation,0.004625439643859863,7.62939453125e-05
198,ablation,0.9758960530161858,-1.990795135498047e-05
199,ablation,0.5297925004269928,0.37322333455085754
200,ablation,0.961623877286911,0.006551802158355713
201,ablation,0.00020569562911987305,1.6748905181884766e-05
202,ablation,0.030734539031982422,5.7756900787353516e-05
203,ablation,0.01607578992843628,0.007352054119110107
204,ablation,0.9877015147358179,0.0061457157135009766
205,ablation,0.03183090686798096,-0.0005352497100830078
206,ablation,0.00014269351959228516,0.00047516822814941406
207,ablation,0.07331961393356323,0.14356887340545654
208,ablation,0.0004261136054992676,0.00012636184692382812
209,ablation,0.9336758255958557,0.2530074715614319
210,ablation,0.03504234552383423,0.00040340423583984375
211,ablation,2.0503997802734375e-05,0.00044840574264526367
212,ablation,0.0001844167709350586,-3.629922866821289e-05
